match_id,player_id,Ball Receipt*,Ball Recovery,Carry,Dispossessed,Dribble,Duel,Foul Won,Pass,Pressure,Shot,Block,Dribbled Past,Foul Committed,Interception,Miscontrol,Clearance,Error,Goal Keeper,Shield,Injury Stoppage,Offside,minutes_played,duels_lost,passes_last_15_minute,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,position_name_Secondary Striker,position_name_nan,total_running_distance,stamina_start,stamina_end,substituted
15956,5213,55,5,56,0,0,1,1,77,5,1,0,0,1,3,0,8,0,0,1,0,0,49.11545,0,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,141.00000000000003,39.99285714285714,42.003571428571426,False
15956,5246,33,2,19,4,1,0,0,19,5,2,1,0,2,0,2,0,0,0,0,1,0,45.413916666666665,0,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,91.29999999999998,80.52105263157895,83.48421052631579,True
15956,5470,71,1,56,0,0,2,0,75,10,0,3,1,2,1,0,0,0,0,0,0,0,49.019816666666664,0,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,172.29999999999995,64.53392857142858,66.625,False
15956,5477,42,9,44,3,2,0,2,41,8,5,2,0,2,0,2,0,0,0,0,0,0,40.908300000000004,0,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,145.59999999999997,87.24090909090908,89.81363636363636,True
15956,5492,36,2,31,0,1,2,1,41,3,0,0,0,0,2,0,1,0,0,0,0,0,41.03726666666667,0,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,119.30000000000001,46.403225806451616,49.25806451612903,False
15956,5503,69,2,55,5,4,1,1,57,10,1,0,0,0,0,3,0,0,0,0,0,0,48.8284,0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,235.1,76.09454545454545,78.57272727272728,False
15956,6379,79,1,73,1,3,2,1,90,9,0,4,1,0,0,2,2,0,0,0,0,0,46.34751666666667,0,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,436.6,64.76712328767124,69.33972602739726,False
15956,6616,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2.71145,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.599999999999994,100.7,109.3,False
15956,6742,16,0,9,0,0,3,1,7,7,1,4,1,2,0,2,0,0,0,0,0,0,26.394116666666665,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,27.99999999999999,66.06666666666666,66.42222222222222,False
15956,6760,46,2,19,0,0,6,1,21,8,2,1,1,4,0,4,0,0,0,0,0,0,44.707049999999995,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,118.79999999999998,70.35263157894737,74.08947368421053,True
