match_id,player_id,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,position_name,duels_lost,index,period,minute,second,possession,duration,total_running_distance,passes_last_15_minute,should_be_subbed_x,should_be_subbed_y
15946,6379,0,0,85,6,2,73,0,1,1,0,3,0,2,0,0,0,1,2,0,0,0,89,0,0,15,0,0,0,46.27645,Right Back,0,528894,434,12426,8115,20027,211.891514011,303.7353034186221,22,0,0
15946,6566,0,0,4,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6,0,0,7,0,0,0,22.364883333333335,Right Center Forward,0,74667,46,1811,735,2826,12.920077,13.360734784887958,5,0,0
15946,6581,0,0,22,4,1,16,0,1,4,2,4,0,2,1,0,0,0,3,0,0,0,11,0,0,20,0,0,1,44.90508333333333,Left Midfield,0,123791,123,2836,2582,4726,61.344869003,108.66804464594114,1,1,1
15946,6612,0,0,17,1,0,14,7,0,0,0,2,0,4,1,0,0,3,0,0,0,0,25,0,0,13,0,0,0,45.53296666666667,Left Back,0,168915,133,3970,2195,6307,63.652366,78.21332293703233,5,0,0
15946,6613,0,0,28,4,0,11,0,1,0,0,3,0,2,0,0,0,0,1,0,0,0,19,0,0,15,0,1,1,41.177749999999996,Left Center Forward,0,109251,114,2471,2486,4089,55.958922,75.16839463999084,2,1,1
15946,6615,0,0,4,1,3,5,6,0,0,1,2,0,0,0,0,0,3,0,0,0,0,11,0,0,4,0,0,0,43.952,Right Center Back,0,77583,57,1834,1328,2943,45.673855,18.81157714199062,8,0,0
15946,6617,0,0,23,7,4,25,1,2,0,1,4,0,0,0,0,0,1,0,0,0,0,34,0,0,8,0,0,0,44.56585,Right Midfield,0,203197,164,4759,3118,7709,109.980148,161.10054666373242,11,0,0
15946,6618,0,0,13,2,2,11,5,0,1,0,2,0,1,0,0,0,5,1,0,0,0,20,0,0,6,0,0,0,42.84025,Right Back,0,128519,99,3005,2077,4864,66.258861,104.45015617051033,11,0,0
15946,6624,0,0,12,1,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,0,0,6,0,0,0,20.08615,Left Center Forward,0,146887,88,3558,1683,5571,30.949053,33.17372744690047,10,0,0
15946,6626,0,0,23,3,2,18,1,1,2,2,5,0,1,0,0,0,2,3,0,0,0,22,0,0,11,0,1,0,43.580216666666665,Right Defensive Midfield,0,171569,144,4001,2564,6432,79.904544,128.67786344572738,8,0,0
15946,6629,0,0,4,5,0,6,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,26,0,0,0,0,0,0,45.674416666666666,Goalkeeper,0,133097,103,3122,2041,4987,150.73808,52.0236364594008,9,0,0
15946,6632,0,0,13,5,3,15,5,1,0,2,5,0,3,1,0,0,2,0,0,0,0,21,0,0,27,0,0,0,44.6625,Left Defensive Midfield,0,204357,158,4817,2673,7753,69.77997,54.09565493597161,6,0,0
15946,6839,0,0,11,1,2,9,0,0,0,2,3,0,1,0,0,0,2,0,0,0,0,16,0,0,8,0,0,1,36.77263333333334,Center Defensive Midfield,0,75556,75,1699,1403,2789,36.219633,43.02429876605845,6,0,0
15946,6855,0,1,11,0,3,11,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,46.643233333333335,Left Center Back,0,115047,93,2676,1989,4285,57.143842001,43.28793317326296,6,0,0
15946,6935,0,0,7,1,0,5,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,7,0,0,4,0,1,0,19.779166666666665,Left Midfield,0,95214,58,2307,1023,3591,27.194305,42.98279266980522,4,1,1
15946,8206,0,0,7,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,6.8306000000000004,Right Center Midfield,0,78625,44,1934,572,3035,17.007140003,8.105674315766596,7,0,0
15946,11392,0,0,17,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,14.501466666666666,Left Center Midfield,0,183025,106,4483,1670,7039,46.923569,61.65416476912759,18,0,0
15946,20055,0,0,14,3,0,17,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,27,0,0,0,0,0,0,40.956183333333335,Goalkeeper,0,142290,110,3387,1615,5389,92.503655,83.29299999839567,15,0,0
15956,3109,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5.16065,Left Midfield,0,16094,10,447,192,914,4.420464,12.865457628860321,1,1,1
15956,3501,0,0,58,3,1,54,0,1,3,1,2,0,2,1,0,0,0,0,0,0,0,59,0,0,7,0,1,1,44.49985,Left Midfield,0,231316,235,5643,6329,12677,195.479436,339.4878566029215,14,0,0
15956,5203,0,0,39,4,6,36,2,0,0,0,4,0,1,4,0,0,0,0,0,0,0,58,0,0,15,0,0,0,46.20321666666667,Left Defensive Midfield,0,279942,255,7264,5135,15448,178.257160102,181.22103739727083,17,0,0
15956,5211,0,0,54,5,0,52,1,1,2,1,2,0,1,2,0,0,0,1,0,0,0,68,0,0,8,0,0,0,44.756366666666665,Left Back,0,307502,290,7906,6214,16890,181.693871022,247.3852706241068,16,0,0
15956,5213,0,0,55,5,0,56,8,0,0,0,1,0,1,1,0,0,3,0,0,0,0,77,0,0,5,1,1,0,49.11545,Right Center Back,0,352909,313,9207,6058,19639,249.650899,251.25581035063612,14,0,0
15956,5246,0,0,33,2,1,19,0,4,1,0,0,0,2,0,0,1,0,2,0,0,0,19,0,0,5,0,2,1,45.413916666666665,Left Center Forward,0,144449,136,3748,2851,8003,62.833892,103.48677488983681,5,0,0
15956,5470,0,0,71,1,3,56,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,75,0,0,10,0,0,0,49.019816666666664,Right Defensive Midfield,0,307390,306,7846,6370,17017,202.538265003,274.5074320187101,13,0,0
15956,5477,0,0,42,9,2,44,0,3,2,0,0,0,2,2,0,0,0,2,0,0,0,41,0,0,8,0,5,1,40.908300000000004,Right Midfield,0,232099,229,5836,4487,12707,142.067920007,181.29382284717582,16,0,0
15956,5492,0,0,36,2,0,31,1,0,1,0,2,0,0,1,0,0,2,0,0,0,0,41,0,0,3,0,0,0,41.03726666666667,Left Center Back,0,172349,163,4365,3918,9521,130.982115,187.1575471028136,14,0,0
15956,5503,0,0,69,2,0,55,0,5,4,0,1,0,0,1,0,0,0,3,0,0,0,57,0,0,10,0,1,0,48.8284,Right Center Forward,0,296560,279,7539,6171,16323,209.616937103,340.8551062951486,15,0,0
15956,6379,0,0,79,1,4,73,2,1,3,1,2,0,0,1,0,0,0,2,0,0,0,90,0,0,9,0,0,0,46.34751666666667,Right Back,0,385913,372,9900,8138,21329,262.992347006,516.8203968020229,20,0,0
15956,6616,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2.71145,Left Center Forward,0,16576,10,466,113,951,6.939730999999999,8.657944328765339,1,1,1
15956,6742,0,0,16,0,4,9,0,0,0,1,3,0,2,1,0,0,0,2,0,0,0,7,0,0,7,0,1,0,26.394116666666665,Right Midfield,0,150434,106,4109,1919,8346,27.467562,35.137519782942384,4,1,1
15956,6760,0,0,46,2,1,19,0,0,0,1,6,0,4,1,0,0,0,4,0,0,0,21,0,0,8,0,2,1,44.707049999999995,Right Center Forward,0,163119,161,4100,3523,8948,82.619890006,186.7382481707868,3,1,1
15956,7699,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,6.065066666666667,Left Midfield,0,42365,26,1177,415,2419,10.346065999999999,7.216462267931393,2,1,1
15956,8206,0,0,11,2,0,9,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,5,0,0,0,16.66228333333333,Right Midfield,0,124037,82,3431,1445,6929,26.174809,18.27453671601961,8,0,0
15956,8419,0,0,16,0,0,10,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,3,0,0,0,21.17315,Right Center Forward,0,119883,80,3306,1018,6733,25.587048,31.707766347755857,5,0,0
15956,11291,0,0,35,8,2,30,0,1,2,0,2,0,0,2,0,0,1,3,0,0,0,24,0,0,14,0,0,1,43.5304,Left Midfield,0,207560,191,5427,3742,11463,115.573211,257.3386325418661,7,0,0
15956,11293,0,0,23,6,2,26,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,41,0,0,6,0,0,0,49.17328333333333,Left Center Back,0,206838,177,5514,2861,11622,119.886064,151.81147080539822,12,0,0
15956,11294,0,0,13,2,0,14,2,0,0,2,1,0,2,0,0,0,0,2,0,0,0,18,0,0,9,0,0,1,39.232099999999996,Center Defensive Midfield,0,81168,95,2049,1867,4499,47.699815003,36.30164914137204,2,1,1
15956,11296,0,0,41,8,1,28,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,35,0,0,8,0,1,0,46.291216666666664,Left Center Forward,0,262528,214,7004,4211,14672,113.90230601100001,265.88814861652435,16,0,0
15956,11297,0,0,16,3,3,13,4,0,1,1,2,0,1,0,0,0,2,0,0,0,0,22,0,0,5,1,0,0,44.708099999999995,Right Back,0,136173,115,3554,2297,7539,62.590592,30.322154190335535,9,0,0
15956,11298,0,0,48,6,1,41,1,0,1,1,7,0,1,0,0,0,0,2,0,0,0,55,0,0,12,0,0,0,47.53353333333334,Left Back,0,347269,289,9226,5703,19300,158.812609003,258.39529473168045,17,0,0
15956,11300,0,0,43,6,5,43,0,2,2,2,5,0,2,3,0,0,0,1,0,0,0,46,0,0,25,0,2,0,48.5519,Left Defensive Midfield,0,340153,298,8986,6090,18926,171.027973,199.81522672830033,10,0,0
15956,11302,0,0,14,5,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,36,0,0,0,0,0,0,43.19693333333333,Goalkeeper,0,125866,114,3272,2234,7026,130.926453,17.73916569812702,9,0,0
15956,11303,0,0,22,7,2,25,0,0,1,0,3,0,3,2,0,0,0,1,0,0,0,28,0,0,11,1,0,0,48.933883333333334,Right Defensive Midfield,0,209798,177,5543,3148,11671,93.053143003,258.1091358814973,8,0,0
